,drinking,hair_and_makeup,phonecall,radio,reach_backseat,reach_side,safe_drive,talking_to_passenger,texting
drinking,34418,360,49,0,0,813,1226,0,0
hair_and_makeup,1716,38366,2269,0,0,2915,2012,0,0
phonecall,1441,4134,265697,0,0,6209,6693,0,0
radio,27,462,18,3,0,3628,21414,0,0
reach_backseat,20,1323,28,0,59,8089,1081,4,6
reach_side,1390,2492,1659,0,0,88214,32465,0,0
safe_drive,2854,4865,4340,4,0,41347,368358,120,0
talking_to_passenger,189,1038,84,0,0,2704,18334,1,0
texting,1424,2257,2564,0,0,39647,67834,0,0
