,drinking,hair_and_makeup,phonecall,radio,reach_backseat,reach_side,safe_drive,talking_to_passenger,texting
drinking,34417,361,49,0,0,813,1226,0,0
hair_and_makeup,1716,38366,2271,0,0,2912,2013,0,0
phonecall,1439,4138,265701,0,0,6202,6694,0,0
radio,27,463,18,3,0,3630,21411,0,0
reach_backseat,20,1323,28,0,58,8089,1082,4,6
reach_side,1389,2493,1660,0,0,88223,32455,0,0
safe_drive,2851,4864,4337,4,0,41351,368361,120,0
talking_to_passenger,189,1034,84,0,0,2704,18338,1,0
texting,1424,2256,2561,0,0,39645,67840,0,0
